record_number,platform,source_dataset,source_product_id,product_url,title,brand,seller,observed_price,currency,source_category,product_type,weight_grams,dimensions,image_url,source_timestamp,estimate_status,manufacturing_category,product_archetype,match_basis,confidence,quantity_assumption,factory_cost_low_usd,factory_cost_base_usd,factory_cost_high_usd,packaging_base_usd,freight_base_usd,duty_assumption_percent,landed_cost_low_usd,landed_cost_base_usd,landed_cost_high_usd,marketplace_fee_rate_percent,fulfillment_assumption_usd,returns_allowance_rate_percent,total_selling_cost_base_usd,gross_profit_base_usd,gross_margin_base_percent,estimate_notes,description_excerpt,source_dataset_url,estimate_version
11,Amazon,Bright Data Amazon products sample,B09S6R2M8V,https://www.amazon.com/dp/B09S6R2M8V?th=1&psc=1&currency=USD&language=en_GB,"Barney Butter Bare Smooth Almond Butter, No Added Sugar Or Salt, 0.6 Ounces (Pack Of 12)",Barney Butter,Ama███.co███,,USD,Grocery & Gourmet Food > Pantry Staples > Nut & Seed Butters > Almond Butter,Almond Butter,204.1164,5.08 x 3.58 x 2.09 inches; 7.2 ounces,https://m.media-amazon.com/images/I/71E2as3ltOL._SL1500_.jpg,2024-07-09 00:00:00.000,Estimated,Food,Packaged food product,Broad source category: Grocery & Gourmet Food > Pantry Staples > Nut & Seed Butters > Almond Butter,Low,1000,1.81,7.25,21.76,0.7,0.81,2,2.38,8.94,26.32,15.0,3.5,5.0,12.44,,,"Ingredients, count, shelf life, food safety, and cold-chain needs vary widely. Modifiers: 12-count/set adjustment. Tariff and freight assumptions are illustrative and require current validation.","Barney Butter Bare Smooth Almond Butter, No Added Sugar Or Salt, 0.6 Ounces (Pack Of 12)",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
12,Amazon,Bright Data Amazon products sample,B0BK8QY1JB,https://www.amazon.com/Bluetooth-Environmental-Cancelling-Microphone-Headphones/dp/B0BK8QY1JB,"Trucker Bluetooth Headsets, Wireless Headset with AI Environmental Noise Cancelling & Mute Microphone, Up to 30H Talk Time, 164ft Wireless Range, Bluetooth Over Ear Headphones for PC, Computer, Skype",EKSA,EKS███ele███,84.99,USD,"Electronics > Headphones, Earbuds & Accessories > Headphones & Earbuds > On-Ear Headphones",,471.73568,7.32 x 6.93 x 2.87 inches,https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg,2023-09-10 00:00:00.000,Estimated,Electronics,Bluetooth headset or earbuds,Keyword/category match: bluetooth headset,Low,1000,5.0,12.0,28.0,0.8,0.7,3,5.77,13.91,32.55,15.0,4.75,5.0,35.65,49.34,58.1,"ANC, battery, codecs, tooling, certifications, and warranty drive cost. Tariff and freight assumptions are illustrative and require current validation.","About this item 【Industry Leading AI-Powered Environmental Noise Cancellation】EKSAtelecom cutting-edge AI-Powered ENC tech can dynamically detect and nullifies up to 99.8% ambient noise with a broad sound frequency range, and cancels it out before reaching your ears to get crystal-clear communication! 【164 ft Ultra-Long Wireless Connection】This truck driver bluetooth headset with a noise-cancelling microphone features an ultra-long wireless operating range of up to 99 ft / 30 m away for better c",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
13,Amazon,Bright Data Amazon products sample,B00LMTKUU8,https://www.amazon.co.uk/LOOGU-Camouflage-Tactical-Camo-Activities/dp/B00LMTKUU8?th=1&psc=1&currency=USD&language=en_GB,"LOOGU Desert Netting Scarf Tactical Miliary Camo Mesh Scarves for Men and Women Wraps ideal for Wargame, Sports & Other Outdoor Activities",LOOGU,LOO███Hun███g G█████████,11.19,GBP,Women > Accessories > Scarves & Wraps,,200.0,23.11 x 14.99 x 4.32 cm; 45.36 Grams,https://m.media-amazon.com/images/I/61IUzxKSEAL.__AC_SX300_SY300_QL70_ML2_.jpg,2024-01-15 00:00:00.000,Estimated,Apparel,Scarf or wrap,Keyword/category match: scarf,Medium,1000,0.96,2.69,6.72,0.35,0.2,10,1.32,3.56,8.77,15.0,3.5,5.0,7.06,,,"Fiber, size, printing, and finishing affect cost. Tariff and freight assumptions are illustrative and require current validation.","LOOGU was founded in 2012 which focus on outdoor, hunting, army, camouflage, sporting goods,and other industries,Our main products are camouflage netting,ghillie suit,rain poncho,camo scarf,camo accessries,tarp,etc. We have specialized in textile fabrics for many years and continuously strive to improve our product design to provide competitive, cost-effective products and services. Thanks for your time and interest, please let us know if we can be of further assistance. Product Details High Qua",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
14,Amazon,Bright Data Amazon products sample,B0CN8RQYDG,https://www.amazon.com/dp/B0CN8RQYDG?th=1&psc=1&currency=USD&language=en_GB,"PULOTE 100PCS Pink Plastic Plates - Heavy Duty Pink Disposable Plates - Pink and Gold Plastic Plates Include 50PCS Pink Dinner Plates, 50PCS Pink Dessert Plates for Party&Wedding",PULOTE,PUL███,44.99,USD,"Health & Household > Household Supplies > Paper & Plastic > Disposable Plates, Bowls & Cutlery > Plates",Disposable Plates,4540.455919999999,"10.43""L x 10.43""W x 7.48""Th",https://m.media-amazon.com/images/I/81qyHZyO6KL._AC_SL1500_.jpg,2024-07-09 00:00:00.000,Estimated,Jewelry,Fashion ring,Keyword/category match: rings,Low,1000,1.32,4.82,13.15,0.35,0.19,6,1.64,5.69,15.3,15.0,12.0,5.0,26.68,18.31,40.7,"Metal, size range, stones, and plating affect cost. Modifiers: premium/heavy-duty specification, 100-count/set adjustment. Tariff and freight assumptions are illustrative and require current validation.","About this item EXQUISITE DESIGN: Our pink plastic plates use a classic round plates, decorated with a gold line around the edge of the plates. Our pink party plates can help you better arrange the table and make the food look more delicious. VALUE PACKAGE: Our pink disposable plates include 50 pink dinner plates and 50 pink dessert plates, which can meet the dining needs of 50 guests. MANY OCCASIONS FOR USE: Our pink plates for party are very suitable for use at family gatherings, birthday part",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
15,Amazon,Bright Data Amazon products sample,B001D2X9WU,https://www.amazon.com/Stahlwille-Double-Spanner-Shallow-6x7-20x22/dp/B001D2X9WU,"Stahlwille 96410704 Double Ended Ring Wrench Set Corona, 6mm x 7mm to 20mm x 22mm, Shallow Offset, Chrome Alloy Steel, Chrome Plated, No.23/8, 8 pcs",Stahlwille,Ama███.co███,141.1,USD,Tools & Home Improvement > Power & Hand Tools > Hand Tools > Wrenches > Socket Wrenches,,870.0,70.87 x 21.65 x 6.3 inches; 1.92 Pounds,https://m.media-amazon.com/images/I/41SABKadJNL._SY445_SX342_QL70_FMwebp_.jpg,2023-09-11 00:00:00.000,Estimated,Tools,Wrench or socket set,Keyword/category match: wrench set,Low,1000,11.18,30.75,76.87,1.5,3.5,5,13.63,37.53,92.79,15.0,4.75,5.0,70.5,70.6,50.0,"Piece count, tolerances, alloy, finish, and case affect cost. Modifiers: 8-count/set adjustment. Tariff and freight assumptions are illustrative and require current validation.","Stahwhile 96410704 Double-ended Ring Wrench Set CORONA with Shallow Offset Heads are made of chrome alloy steel, drop forged, hardened and tempered to provide high torque and added leverage, and polished with chrome finish for protection against rust and corrosion and offers high hardness. This professional wrench set has thin-walled rings and 10-degree shallow ring end offset which facilitate work in confined or tight spaces, perfect hand tool for automotive repair and maintenance, machinery, e",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
16,Amazon,Bright Data Amazon products sample,B083S6S7VG,https://www.amazon.com/CELL9102-Battery-Charger-Cordless-Capacity/dp/B083S6S7VG,"2Packs 18V Battery and Charger Combo for 18-Volt Cordless Tools Battery and P118B Charger, Cell9102 18V Battery Capacity Output 3.0Ah",Cell9102,Kin███tt,69.99,USD,Tools & Home Improvement > Power & Hand Tools > Power Tool Parts & Accessories > Battery Packs & Chargers > Battery Packs,,1456.0303199999998,10.91 x 5.87 x 4.21 inches,https://m.media-amazon.com/images/I/71+0zbWSyUL._AC_SY300_SX300_.jpg,2023-09-11 00:00:00.000,Estimated,Electronics,Power-tool charger combo,Keyword/category match: battery and charger,Low,1000,16.34,34.49,62.99,1.6,4.55,3,19.66,41.85,78.89,15.0,7.5,5.0,63.35,6.64,9.5,"Cell capacity, charger power, safety certification, and warranty drive cost. Tariff and freight assumptions are illustrative and require current validation.","About this item The Cell9102 Advantage : Professional power tool battery manufacturing factory, with dozens of research and development team. So that you can use the battery more efficiently to bring convenience to your life What You Get : Cell9102 2Packs replacement 18V battery and Charger Starter Kit, 18V 3000mAh lithium Ion P108 and P118B 18V battery charger Ultra-High Capacity : This item replacement 18V battery has a Extended capacity of 3,000 mAh and use high-quality lithium-ion cells Cert",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
17,Amazon,Bright Data Amazon products sample,B09YFS3TR9,https://www.amazon.com/General-Tools-Retractable-WS-1201-Lightweight/dp/B09YFS3TR9,"General Tools 3-Pack Retractable Utility Knife WS-1201, Snap-Off Blade, Lightweight Box Cutter, 9mm, Yellow , Grey",General Tools,Ama███.co███,6.19,USD,"Tools & Home Improvement > Power & Hand Tools > Hand Tools > Knives, Parts & Accessories > Knives > Utility Knives",,40.82328,5.24 x 1.54 x 0.83 inches,https://m.media-amazon.com/images/I/51APiaglzLL.__AC_SX300_SY300_QL70_FMwebp_.jpg,2023-09-11 00:00:00.000,Estimated,Tools,Steel hand tool,Keyword/category match: utility knife,Medium,1000,1.93,4.46,5.57,0.5,0.45,5,2.39,5.68,8.53,15.0,3.5,5.0,10.42,-4.23,-68.3,"Steel grade, forging, machining, coating, and set count affect cost. Modifiers: 3-count/set adjustment. Tariff and freight assumptions are illustrative and require current validation.","Ideal for DIYers, homeowners, handymen, and mechanics, the General Tools #WS-1201 Retractable Utility Knife set gets the job done safer and faster.",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
18,Amazon,Bright Data Amazon products sample,B001PT6X8S,https://www.amazon.com/DANIEL-SMITH-Watercolor-Iridescent-Antique/dp/B001PT6X8S/ref=sr_1_2354?qid=1685371474&rnid=12897411&s=arts-crafts-intl-ship&sr=1-2354,"DANIEL SMITH Extra Fine Watercolor Paint, 15ml Tube, Iridescent Antique Copper, 284640009",DANIEL SMITH,,13.52,USD,"Arts, Crafts & Sewing > Painting, Drawing & Art Supplies > Painting > Paints",,18.14368,3.54 x 0.59 x 0.79 inches,https://m.media-amazon.com/images/I/41KkAB9hG9L.__AC_SX300_SY300_QL70_FMwebp_.jpg,2023-05-30 00:00:00.000,Estimated,Crafts,Art paint or craft supply,Keyword/category match: watercolor,Low,1000,2.39,8.37,12.17,0.55,0.38,3,2.79,9.58,15.03,15.0,3.5,5.0,15.78,-2.26,-16.7,"Material, pigment, size, brand standards, and packaging affect cost. Modifiers: higher-cost domestic production, titanium material. Tariff and freight assumptions are illustrative and require current validation.","DANIEL SMITH Extra Fine Watercolors - classic watercolors of unsurpassed purity and permanence. The vision in the formulation of DANIEL SMITH watercolors was twofold​; First and foremost, to produce watercolors that are the best in lightfastness and permanence.Second, to offer a selection of truly unique colors. DANIEL SMITH Watercolors are formulated to meet and exceed the highest industry standards​ for the manufacture of artist’s paints, and every batch made is tested and analyzed for its per",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
19,Amazon,Bright Data Amazon products sample,B09M99SBQ3,https://www.amazon.com/NZND-Motivate-Splendor-Protector-Quicksand/dp/B09M99SBQ3,"NZND Case for At&t Motivate 3 (3rd Version)/ Motivate 2 (2nd)/ Cricket Icon 3/ Cricket Splendor with Tempered Glass Screen Protector, Ring Holder/Wrist Strap, Glitter Liquid Cute Case (Pink/Aqua)",NZND,NZND,13.98,USD,"Cell Phones & Accessories > Cases, Holsters & Sleeves > Basic Cases",,8.50485,6.5 x 0.3 x 3 inches,https://m.media-amazon.com/images/I/81ZMjkEAdkL._AC_SX679_.jpg,2023-08-03 00:00:00.000,Estimated,Electronics,Phone screen protector,Keyword/category match: screen protector,Medium,1000,0.14,0.52,1.75,0.2,0.06,3,0.25,0.81,2.47,15.0,3.5,5.0,7.1,6.88,49.2,"Material, coating, applicator, pack count, and packaging affect cost. Tariff and freight assumptions are illustrative and require current validation.","NZND Glitter Flowing Liquid Floating Gradient Colorful with Sparkling Bling Diamond, Durable Girls Women Cute Case.",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
20,Amazon,Bright Data Amazon products sample,B07PX6QSH2,https://www.amazon.com/Braun-Exfoliator-Attachments-Waterproof-Rechargeable/dp/B07PX6QSH2?th=1&psc=1&currency=USD&language=en_GB,"Braun SE5-895 Epilator, Hair Removal Device, Epilator for Women, Includes Shaver and Facial Cleansing Exfoliator Brush Attachments, Waterproof, Cordless and Rechargeable",Braun,Ama███.co███,94.94,USD,"Beauty & Personal Care > Shave & Hair Removal > Women's > Epilators, Groomers & Trimmers > Epilators",,544.3104,2.76 x 10.24 x 7.76 inches; 1.22 Pounds,https://m.media-amazon.com/images/I/41DMoSGOcoL._SX300_SY300_QL70_FMwebp_.jpg,2024-01-16 00:00:00.000,Estimated,Electronics,Small grooming appliance,Keyword/category match: epilator,Low,1000,8.13,20.33,45.74,1.3,1.8,3,9.82,24.13,54.12,15.0,4.75,5.0,47.87,47.07,49.6,"Motor, battery, attachments, safety testing, and warranty affect cost. Modifiers: weatherproof construction. Tariff and freight assumptions are illustrative and require current validation.","Introducing the beauty set 5, The Starter 5-in-1 hair removal & Beauty set for face and body. Epilate, shave, trim, cleanse, exfoliate and apply creams and makeup. 1x Body exfoliation brush Attachment removes dead skin cells, to prevent ingrown hairs. Epilator removes 4x shorter hair than wax for up to 4 weeks of smooth skin. Includes a shaver & trimmer attachment for hair removal in sensitive areas. 3x Facial brush attachments to cleanse and exfoliate. Cordless use up to 30 mins. 100% wet and d",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
